"","Drug","Region","Country","expcoef","explower","expupper","p-value"
"1","Gabapentin","Northern Africa","ALGERIA",128.28290732734,-0.623810404779035,424.402132845804,0.050929982890897
"2","Gabapentinoids","Northern Africa","ALGERIA",36.7355381883697,27.4344423812184,46.7154958604714,0.0000034411003423428
"3","Pregabalin","Northern Africa","ALGERIA",36.0855455059065,26.7710251349127,46.0844516791711,0.00000412430646696085
"4","Gabapentin","Central and South America and the Caribbean","ARGENTINA",0.742093368053576,-0.909265990073194,2.4209728344621,0.337991647122706
"5","Gabapentinoids","Central and South America and the Caribbean","ARGENTINA",20.5318546532909,14.5718893665367,26.8018539843094,0.0000159981051311538
"6","Pregabalin","Central and South America and the Caribbean","ARGENTINA",27.0800529058552,18.2545760676724,36.5641853666053,0.0000357180118551719
"7","Gabapentin","Australia and New Zealand","AUSTRALIA",1.77285580360977,0.172409462850664,3.39887234382188,0.0334200722665225
"8","Gabapentinoids","Australia and New Zealand","AUSTRALIA",32.9244638696999,25.3805985946274,40.9222263499727,0.00000158613016576023
"9","Pregabalin","Australia and New Zealand","AUSTRALIA",43.9394354217143,33.0549992268717,55.7142624471759,0.0000024216863164038
"10","Gabapentin","Western Europe","AUSTRIA",3.82538866865492,2.14113005197993,5.53741990823313,0.00056980598365735
"11","Gabapentinoids","Western Europe","AUSTRIA",10.6812756887297,9.12429980723779,12.2604663647251,0.0000000575713388884195
"12","Pregabalin","Western Europe","AUSTRIA",17.7869810932747,15.004322714911,20.6369690073278,0.0000000853103334732922
"13","Gabapentin","Eastern Europe","BELARUS",35.0801713109051,30.6133407298679,39.6997625159965,0.0000000082135963152416
"14","Gabapentinoids","Eastern Europe","BELARUS",36.3040509643323,30.3629491099318,42.5159098972229,0.000000074973066428164
"15","Pregabalin","Eastern Europe","BELARUS",40.6161145134583,28.0260386285114,54.4442979934443,0.0000178005893780144
"16","Gabapentin","Western Europe","BELGIUM",12.3014184078056,7.63231773921682,17.173065128652,0.000162683997942405
"17","Gabapentinoids","Western Europe","BELGIUM",14.7022566777563,12.1595959223882,17.302559614016,0.00000022617576396607
"18","Pregabalin","Western Europe","BELGIUM",15.2172180243409,11.166746176205,19.4152728751001,0.00000890625290676078
"19","Gabapentin","Southern Europe","BOSNIA AND HERZEGOVINA",31.1741628683626,21.8235664571593,41.2424664998348,0.000106696076459927
"20","Gabapentinoids","Southern Europe","BOSNIA AND HERZEGOVINA",35.5607716967709,27.4244418935523,44.2166239847107,0.0000200380200810829
"21","Pregabalin","Southern Europe","BOSNIA AND HERZEGOVINA",60.0058632915271,46.750911052457,74.4580398449133,0.0000111699185117462
