"","Year","Drug","DDD/TID","DDD/TID - lower","DDD/TID - upper","Area"
"1",2008,"Gabapentin",0.20423194667144,0.145035975331677,0.287588565153022,"Multinational"
"2",2009,"Gabapentin",0.22346693471794,0.156897526757311,0.318280803683257,"Multinational"
"3",2010,"Gabapentin",0.244532596693498,0.168484079306269,0.354907069509921,"Multinational"
"4",2011,"Gabapentin",0.249029578154111,0.173980944799468,0.356451281875118,"Multinational"
"5",2012,"Gabapentin",0.267401628654122,0.188305405719255,0.379721605621252,"Multinational"
"6",2013,"Gabapentin",0.294219034279565,0.20511078243874,0.422039441823367,"Multinational"
"7",2014,"Gabapentin",0.297008380383732,0.20685881740573,0.426445336604368,"Multinational"
"8",2015,"Gabapentin",0.332962856511073,0.228340509328466,0.485521662985063,"Multinational"
"9",2016,"Gabapentin",0.356392300506818,0.241932759966127,0.525003194599713,"Multinational"
"10",2017,"Gabapentin",0.384144458721365,0.258263376219673,0.571381693085332,"Multinational"
"11",2018,"Gabapentin",0.403947566670853,0.270793968367545,0.602574856459984,"Multinational"
"12",2008,"Pregabalin",0.208768878481,0.155853858095548,0.279649443105185,"Multinational"
"13",2009,"Pregabalin",0.297948666079666,0.223289909814512,0.39757017096024,"Multinational"
"14",2010,"Pregabalin",0.311680964890429,0.233635465348538,0.415797420695986,"Multinational"
"15",2011,"Pregabalin",0.35460777619635,0.272009297827158,0.462288149498563,"Multinational"
"16",2012,"Pregabalin",0.39434570720878,0.305232805620938,0.509475174130253,"Multinational"
"17",2013,"Pregabalin",0.504234135948412,0.393434921452912,0.646236645483114,"Multinational"
"18",2014,"Pregabalin",0.598661775050758,0.468240111350452,0.765410549457785,"Multinational"
"19",2015,"Pregabalin",0.684273025192661,0.533117352873721,0.878286123087847,"Multinational"
"20",2016,"Pregabalin",0.800591873922243,0.620572682045357,1.03283203907368,"Multinational"
"21",2017,"Pregabalin",0.948525137993787,0.739251710758047,1.2170414005313,"Multinational"
"22",2018,"Pregabalin",1.09383769310592,0.85459109724533,1.40006244239613,"Multinational"
"23",2008,"Gabapentinoids",0.411432099108897,0.298901934123495,0.56632745677455,"Multinational"
"24",2009,"Gabapentinoids",0.530719320836925,0.385391762630267,0.7308485152544,"Multinational"
"25",2010,"Gabapentinoids",0.634342324846916,0.458588060182706,0.877454561141154,"Multinational"
"26",2011,"Gabapentinoids",0.68909496706946,0.508553588600086,0.933730258295102,"Multinational"
"27",2012,"Gabapentinoids",0.799487461248675,0.597228691475922,1.07024362663196,"Multinational"
"28",2013,"Gabapentinoids",0.965093045919398,0.721985635812752,1.29005972014039,"Multinational"
"29",2014,"Gabapentinoids",1.11587539261592,0.838486401861262,1.48503051341287,"Multinational"
"30",2015,"Gabapentinoids",1.265566336927,0.944496186302628,1.69578043446926,"Multinational"
"31",2016,"Gabapentinoids",1.40863390805665,1.04966766268783,1.89035973714385,"Multinational"
"32",2017,"Gabapentinoids",1.61476310198553,1.20589467454571,2.16226170541489,"Multinational"
"33",2018,"Gabapentinoids",1.78397196772313,1.33906992121729,2.37669141184863,"Multinational"
"Year1",2008,"Gabapentin",3.33700772719824,1.87670034826711,5.93361672344924,"Northern America"
"Year110",2008,"Gabapentin",0.112548972946992,0.0344318695115339,0.367893799875707,"Central and South America and the Caribbean"
"Year112",2008,"Gabapentin",0.568258350179321,0.415759386841787,0.776693353820552,"Northern Europe"
"Year114",2008,"Gabapentin",0.0926585991190278,0.0359791922865301,0.238627257730713,"Eastern Europe"
"Year116",2008,"Gabapentin",0.727415179330364,0.429036916214243,1.23330376273728,"Southern Europe"
"Year118",2008,"Gabapentin",0.878705152444573,0.702377934291961,1.09929812318348,"Western Europe"
"Year120",2008,"Gabapentin",0.860059216185337,0.672680487740515,1.09963328627227,"Australia and New Zealand"
"Year127",2008,"Gabapentin",0.0572071872874416,0.0106535730221027,0.307189172172632,"Eastern Asia"
"Year129",2008,"Gabapentin",0,0,0,"Central Asia"
"Year130",2008,"Gabapentin",0.0260473909121321,0.0259925516604922,0.0261023458639756,"South-eastern Asia"
"Year140",2008,"Gabapentin",0.0227827807792618,0.00416373043286673,0.124661072181498,"Southern Asia"
"Year150",2008,"Gabapentin",0.137647619143876,0.0373608778938893,0.5071312057974,"Western Asia"
"Year160",2008,"Gabapentin",0.0330517996445811,0.0123708906328661,0.0883058053106758,"Northern Africa"
"Year170",2008,"Gabapentin",0.0515260953485158,0.0514218630278414,0.0516305389485183,"Southern Africa"
"Year2",2009,"Gabapentin",3.69572365795553,1.90635845645286,7.1646406843056,"Northern America"
"Year210",2009,"Gabapentin",0.111610605015723,0.0310317167513856,0.40142565272092,"Central and South America and the Caribbean"
"Year212",2009,"Gabapentin",0.637573865621808,0.445537783166018,0.912381507209825,"Northern Europe"
"Year214",2009,"Gabapentin",0.130454663369379,0.0528015181980774,0.322309277755535,"Eastern Europe"
"Year216",2009,"Gabapentin",0.69038777458932,0.390393332209389,1.22091039978815,"Southern Europe"
"Year218",2009,"Gabapentin",0.881050141348572,0.703402410919171,1.10356367780425,"Western Europe"
"Year220",2009,"Gabapentin",0.9514230967032,0.639749733682772,1.41493753147722,"Australia and New Zealand"
"Year227",2009,"Gabapentin",0.076507615764873,0.0142855057172745,0.409745051093802,"Eastern Asia"
"Year229",2009,"Gabapentin",0,0,0,"Central Asia"
"Year230",2009,"Gabapentin",0.0265660593091953,0.0265111307080171,0.0266211017173349,"South-eastern Asia"
"Year240",2009,"Gabapentin",0.0214542484095373,0.004694097151176,0.0980560819246829,"Southern Asia"
"Year250",2009,"Gabapentin",0.155048842168476,0.0408290818932005,0.588799511109962,"Western Asia"
"Year260",2009,"Gabapentin",0.0327601030889749,0.0129079559087659,0.0831444081453225,"Northern Africa"
"Year270",2009,"Gabapentin",0.0455972423351124,0.0454998752872928,0.045694817742668,"Southern Africa"
"Year3",2010,"Gabapentin",4.19518004474385,1.87587547477944,9.38203833060203,"Northern America"
"Year34",2010,"Gabapentin",0.108959899049176,0.0281789934723132,0.421315956954652,"Central and South America and the Caribbean"
"Year35",2010,"Gabapentin",0.765654555487792,0.513898769807114,1.14074392230836,"Northern Europe"
"Year36",2010,"Gabapentin",0.162549063336309,0.0684756477287096,0.385862695248862,"Eastern Europe"
"Year37",2010,"Gabapentin",0.682148081652666,0.387512024989789,1.200804040377,"Southern Europe"
"Year38",2010,"Gabapentin",0.913581075925427,0.724564272100468,1.15190662088474,"Western Europe"
"Year39",2010,"Gabapentin",1.07961630224699,0.655011850015147,1.77946606622539,"Australia and New Zealand"
"Year310",2010,"Gabapentin",0.0928967635382683,0.0172488479665989,0.500312176940507,"Eastern Asia"
"Year318",2010,"Gabapentin",0,0,0,"Central Asia"
"Year320",2010,"Gabapentin",0.070649918330401,0.012333612562667,0.404699834272482,"South-eastern Asia"
"Year330",2010,"Gabapentin",0.0225433432511213,0.00593000322903897,0.0857001767636869,"Southern Asia"
"Year340",2010,"Gabapentin",0.173229199473434,0.0433179255987487,0.692746827910745,"Western Asia"
"Year341",2010,"Gabapentin",0.0374577954884551,0.0133176951861093,0.105355050047877,"Northern Africa"
"Year342",2010,"Gabapentin",0.0456052882794154,0.0455086178591527,0.0457021640491393,"Southern Africa"
"Year4",2011,"Gabapentin",4.42919085851081,2.0511916277425,9.56406578292571,"Northern America"
"Year41",2011,"Gabapentin",0.116203594591388,0.0276063406211491,0.489136737870101,"Central and South America and the Caribbean"
"Year42",2011,"Gabapentin",0.862565895695015,0.57043181686742,1.3043100023803,"Northern Europe"
