"","Year","Drug","Country","DDD","Population","Class","Region","DDDPTPD"
"1",2008,"Gabapentin","ALGERIA",0,34730.604,"Gabapentinoids","Northern Africa",0
"2",2008,"Gabapentin","ARGENTINA",1532866,40080.159,"Gabapentinoids","Central and South America and the Caribbean",0.104709125147633
"3",2008,"Gabapentin","AUSTRALIA",5911624,21332.293,"Gabapentinoids","Australia and New Zealand",0.758715644006438
"4",2008,"Gabapentin","AUSTRIA",4399525,8341.525,"Gabapentinoids","Western Europe",1.44400969657915
"5",2008,"Gabapentin","BELARUS",16780,9452.855,"Gabapentinoids","Eastern Europe",0.00486002760098157
"6",2008,"Gabapentin","BELGIUM",1373808,10778.764,"Gabapentinoids","Western Europe",0.348952933209075
"7",2008,"Gabapentin","BOSNIA AND HERZEGOVINA",0,3754.261,"Gabapentinoids","Southern Europe",0
"8",2008,"Gabapentin","BRAZIL",3663753,192030.362,"Gabapentinoids","Central and South America and the Caribbean",0.0522355367684387
"9",2008,"Gabapentin","BULGARIA",238231,7524.084,"Gabapentinoids","Eastern Europe",0.086687087872659
"10",2008,"Gabapentin","CANADA",30293408,33337.638,"Gabapentinoids","Northern America",2.48784364800271
"11",2008,"Gabapentin","CHILE",259278,16708.255,"Gabapentinoids","Central and South America and the Caribbean",0.0424858536325928
"12",2008,"Gabapentin","CHINA",463509,1353569.48,"Gabapentinoids","Eastern Asia",0.000937534791707045
"13",2008,"Gabapentin","COLOMBIA",549166,44254.972,"Gabapentinoids","Central and South America and the Caribbean",0.0339743648547826
"14",2008,"Gabapentin","CROATIA",465190,4352.639,"Gabapentinoids","Southern Europe",0.29260887651514
"15",2008,"Gabapentin","CZECH REPUBLIC",2723912,10425.267,"Gabapentinoids","Eastern Europe",0.715345190994013
"16",2008,"Gabapentin","ECUADOR",386233,14535.74,"Gabapentinoids","Central and South America and the Caribbean",0.0727481588874315
"17",2008,"Gabapentin","EGYPT",2208446,79636.081,"Gabapentinoids","Northern Africa",0.0759253286137817
"18",2008,"Gabapentin","ESTONIA",36893,1340.067,"Gabapentinoids","Northern Europe",0.0753749843027734
"19",2008,"Gabapentin","FINLAND",1863804,5319.452,"Gabapentinoids","Northern Europe",0.95927498705881
"20",2008,"Gabapentin","FRANCE",31340311,62209.207,"Gabapentinoids","Western Europe",1.37929897001122
"21",2008,"Gabapentin","GERMANY",36401173,81065.751,"Gabapentinoids","Western Europe",1.22938452948622
"22",2008,"Gabapentin","GREECE",3361049,11040.312,"Gabapentinoids","Southern Europe",0.833495525329317
"23",2008,"Gabapentin","HUNGARY",824541,9991.867,"Gabapentinoids","Eastern Europe",0.225930772084205
"24",2008,"Gabapentin","INDIA",14018125.9722222,1200669.762,"Gabapentinoids","Southern Asia",0.031965106844396
"25",2008,"Gabapentin","IRELAND",1482663,4415.871,"Gabapentinoids","Northern Europe",0.919254675148265
"26",2008,"Gabapentin","ITALY",12286705,58922.116,"Gabapentinoids","Southern Europe",0.57090897678403
"27",2008,"Gabapentin","JAPAN",4768296,128538.644,"Gabapentinoids","Eastern Asia",0.101563876439204
"28",2008,"Gabapentin","JORDAN",180755,6556.473,"Gabapentinoids","Western Asia",0.0754796395909909
"29",2008,"Gabapentin","KAZAKHSTAN",0,15862.126,"Gabapentinoids","Central Asia",0
