"","Year","Drug","Country","DDD","Population","Class","Region","DDDPTPD","x","pt","rate","lower","upper","conf.level"
"1",2008,"Gabapentin","ALGERIA",0,34730.604,"Gabapentinoids","Northern Africa",0,0,12685353.111,0,0,0,0.95
"2",2008,"Gabapentin","ARGENTINA",1532866,40080.159,"Gabapentinoids","Central and South America and the Caribbean",0.104709125147633,1532866,14639278.07475,0.104709125147633,0.104543364846754,0.104874885448512,0.95
"3",2008,"Gabapentin","AUSTRALIA",5911624,21332.293,"Gabapentinoids","Australia and New Zealand",0.758715644006438,5911624,7791620.01825,0.758715644006438,0.758104035202807,0.759327252810068,0.95
"4",2008,"Gabapentin","AUSTRIA",4399525,8341.525,"Gabapentinoids","Western Europe",1.44400969657915,4399525,3046742.00625,1.44400969657915,1.442660375498,1.44535901766029,0.95
"5",2008,"Gabapentin","BELARUS",16780,9452.855,"Gabapentinoids","Eastern Europe",0.00486002760098157,16780,3452655.28875,0.00486002760098157,0.00478649315097949,0.00493356205098365,0.95
"6",2008,"Gabapentin","BELGIUM",1373808,10778.764,"Gabapentinoids","Western Europe",0.348952933209075,1373808,3936943.551,0.348952933209075,0.348369418344612,0.349536448073537,0.95
"7",2008,"Gabapentin","BOSNIA AND HERZEGOVINA",0,3754.261,"Gabapentinoids","Southern Europe",0,0,1371243.83025,0,0,0,0.95
"8",2008,"Gabapentin","BRAZIL",3663753,192030.362,"Gabapentinoids","Central and South America and the Caribbean",0.0522355367684387,3663753,70139089.7205,0.0522355367684387,0.0521820494211761,0.0522890241157014,0.95
"9",2008,"Gabapentin","BULGARIA",238231,7524.084,"Gabapentinoids","Eastern Europe",0.086687087872659,238231,2748171.681,0.086687087872659,0.0863389883980082,0.0870351873473098,0.95
"10",2008,"Gabapentin","CANADA",30293408,33337.638,"Gabapentinoids","Northern America",2.48784364800271,30293408,12176572.2795,2.48784364800271,2.48695772269722,2.4887295733082,0.95
"11",2008,"Gabapentin","CHILE",259278,16708.255,"Gabapentinoids","Central and South America and the Caribbean",0.0424858536325928,259278,6102690.13875,0.0424858536325928,0.0423223190504448,0.0426493882147408,0.95
"12",2008,"Gabapentin","CHINA",463509,1353569.48,"Gabapentinoids","Eastern Asia",0.000937534791707045,463509,494391252.57,0.000937534791707045,0.000934835769868064,0.000940233813546026,0.95
"13",2008,"Gabapentin","COLOMBIA",549166,44254.972,"Gabapentinoids","Central and South America and the Caribbean",0.0339743648547826,549166,16164128.523,0.0339743648547826,0.0338845087440918,0.0340642209654734,0.95
"14",2008,"Gabapentin","CROATIA",465190,4352.639,"Gabapentinoids","Southern Europe",0.29260887651514,465190,1589801.39475,0.29260887651514,0.291768022886835,0.293449730143445,0.95
"15",2008,"Gabapentin","CZECH REPUBLIC",2723912,10425.267,"Gabapentinoids","Eastern Europe",0.715345190994013,2723912,3807828.77175,0.715345190994013,0.714495683495988,0.716194698492038,0.95
"16",2008,"Gabapentin","ECUADOR",386233,14535.74,"Gabapentinoids","Central and South America and the Caribbean",0.0727481588874315,386233,5309179.035,0.0727481588874315,0.0725187314211412,0.0729775863537217,0.95
"17",2008,"Gabapentin","EGYPT",2208446,79636.081,"Gabapentinoids","Northern Africa",0.0759253286137817,2208446,29087078.58525,0.0759253286137817,0.0758251923509757,0.0760254648765877,0.95
"18",2008,"Gabapentin","ESTONIA",36893,1340.067,"Gabapentinoids","Northern Europe",0.0753749843027734,36893,489459.47175,0.0753749843027734,0.0746058479477244,0.0761441206578224,0.95
"19",2008,"Gabapentin","FINLAND",1863804,5319.452,"Gabapentinoids","Northern Europe",0.95927498705881,1863804,1942929.843,0.95927498705881,0.957897805838953,0.960652168278666,0.95
"20",2008,"Gabapentin","FRANCE",31340311,62209.207,"Gabapentinoids","Western Europe",1.37929897001122,31340311,22721912.85675,1.37929897001122,1.37881607262798,1.37978186739446,0.95
"21",2008,"Gabapentin","GERMANY",36401173,81065.751,"Gabapentinoids","Western Europe",1.22938452948622,36401173,29609265.55275,1.22938452948622,1.22898515699684,1.2297839019756,0.95
