"","Drug","Region","Country","expcoef","explower","expupper","p-value"
"1","Gabapentin","Northern Africa","ALGERIA",128.28290732734,-0.623810404779035,424.402132845804,0.050929982890897
"2","Gabapentinoids","Northern Africa","ALGERIA",36.7355381883697,27.4344423812184,46.7154958604714,0.0000034411003423428
"3","Pregabalin","Northern Africa","ALGERIA",36.0855455059065,26.7710251349127,46.0844516791711,0.00000412430646696085
"4","Gabapentin","Central and South America and the Caribbean","ARGENTINA",0.742093368053576,-0.909265990073194,2.4209728344621,0.337991647122706
"5","Gabapentinoids","Central and South America and the Caribbean","ARGENTINA",20.5318546532909,14.5718893665367,26.8018539843094,0.0000159981051311538
"6","Pregabalin","Central and South America and the Caribbean","ARGENTINA",27.0800529058552,18.2545760676724,36.5641853666053,0.0000357180118551719
"7","Gabapentin","Australia and New Zealand","AUSTRALIA",-2.54591244373218,-4.81528898616893,-0.222429839129468,0.0352249188584731
"8","Gabapentinoids","Australia and New Zealand","AUSTRALIA",26.6665010436737,21.2979931797152,32.2726128112901,0.000000603482952574488
"9","Pregabalin","Australia and New Zealand","AUSTRALIA",38.8182850947428,30.1780584927961,48.031984036017,0.00000106869668146263
"10","Gabapentin","Western Europe","AUSTRIA",3.65934024135794,2.01183369055689,5.33345427225944,0.000667664555142424
"11","Gabapentinoids","Western Europe","AUSTRIA",10.4099443611636,8.92733602881477,11.9127324532245,0.000000047370449507312
"12","Pregabalin","Western Europe","AUSTRIA",17.3857281726567,14.745497969973,20.0867086064735,0.0000000664716537320731
"13","Gabapentin","Eastern Europe","BELARUS",34.3607508074701,30.1858731084625,38.6695109576647,0.00000000550242823305095
"14","Gabapentinoids","Eastern Europe","BELARUS",35.7350425017199,30.0850532038172,41.6304280098728,0.0000000559896873361366
"15","Pregabalin","Eastern Europe","BELARUS",40.8057435177423,28.0137886712345,54.8759521406097,0.0000194944963585424
"16","Gabapentin","Western Europe","BELGIUM",12.2796245500768,7.5907611801431,17.1728311132434,0.000170334558193863
"17","Gabapentinoids","Western Europe","BELGIUM",14.6223435872385,12.0723064350179,17.2304030081582,0.000000243869740369737
"18","Pregabalin","Western Europe","BELGIUM",15.116505635099,11.0146286052395,19.3699428276098,0.0000104781933299618
"19","Gabapentin","Southern Europe","BOSNIA AND HERZEGOVINA",31.1741628683626,21.8235664571593,41.2424664998348,0.000106696076459927
"20","Gabapentinoids","Southern Europe","BOSNIA AND HERZEGOVINA",35.5607716967709,27.4244418935523,44.2166239847107,0.0000200380200810829
"21","Pregabalin","Southern Europe","BOSNIA AND HERZEGOVINA",60.0058632915271,46.750911052457,74.4580398449133,0.0000111699185117462
