"","Year","Drug","Income","DDD/TID","DDD/TID - lower","DDD/TID - upper"
"1","2008","Gabapentin","HIC","0.503959271946374","0.367594364041543","0.690910886087516"
"2","2008","Gabapentin","UMIC","0.0532423223909561","0.0208408277519775","0.136018824555255"
"3","2008","Gabapentin","LMIC","0.0343064571629498","0.0235603422075732","0.0499539859270378"
"4","2009","Gabapentin","HIC","0.538090642462959","0.385045417007093","0.751967240012278"
"5","2009","Gabapentin","UMIC","0.0649323544889288","0.0240845512527496","0.175058717732786"
"6","2009","Gabapentin","LMIC","0.0338043511245429","0.0232686088196878","0.0491105490580299"
"7","2010","Gabapentin","HIC","0.588189603866758","0.409304502735536","0.845255812688855"
"8","2010","Gabapentin","UMIC","0.0768504831687894","0.0291728725114144","0.20244824231709"
"9","2010","Gabapentin","LMIC","0.0369244504877184","0.0238249959859529","0.0572262444293309"
"10","2011","Gabapentin","HIC","0.629682958624251","0.44215008769435","0.896755738417684"
"11","2011","Gabapentin","UMIC","0.0780259947830928","0.0313670643386306","0.194090712352491"
"12","2011","Gabapentin","LMIC","0.0425534189572517","0.0278652187356786","0.0649840032525153"
"13","2012","Gabapentin","HIC","0.650633232358106","0.46661822162039","0.90721618538323"
"14","2012","Gabapentin","UMIC","0.0891880826199018","0.0357019014175056","0.22280365374361"
"15","2012","Gabapentin","LMIC","0.0473957318382357","0.0330026291474579","0.068065952759251"
"16","2013","Gabapentin","HIC","0.698290339564817","0.495877214015365","0.983326889294089"
"17","2013","Gabapentin","UMIC","0.101686536936355","0.0421072684946605","0.245566909556718"
"18","2013","Gabapentin","LMIC","0.0541922345708447","0.0384421112916525","0.0763953432604303"
"19","2014","Gabapentin","HIC","0.765139027888463","0.544227219453514","1.07572299045602"
"20","2014","Gabapentin","UMIC","0.0921437704205635","0.0397158421960787","0.213780545944353"
"21","2014","Gabapentin","LMIC","0.0571584960349028","0.0390257264078364","0.0837164088844727"
"22","2015","Gabapentin","HIC","0.82873231728888","0.581617670115148","1.18083973202366"
"23","2015","Gabapentin","UMIC","0.11266817689895","0.0470260371893754","0.269938077805993"
