"","Year","Drug","DDD/TID","DDD/TID - lower","DDD/TID - upper","Area"
"1",2008,"Gabapentinoids",0.416712560609102,0.298899625794516,0.580962112976258,"Multinational"
"2",2009,"Gabapentinoids",0.539210786560959,0.386296973716061,0.752654802202507,"Multinational"
"3",2010,"Gabapentinoids",0.656081200387571,0.468119518303442,0.919514193858023,"Multinational"
"4",2011,"Gabapentinoids",0.79150503563985,0.570582775046875,1.09796553425885,"Multinational"
"5",2012,"Gabapentinoids",0.903729346771331,0.659885467963884,1.23767952450263,"Multinational"
"6",2013,"Gabapentinoids",1.08264878996781,0.791228918811033,1.48140237869477,"Multinational"
"7",2014,"Gabapentinoids",1.24525403785655,0.914201324869825,1.69618833030991,"Multinational"
"8",2015,"Gabapentinoids",1.39589506405859,1.01719706803666,1.91558065894161,"Multinational"
"9",2016,"Gabapentinoids",1.55405188847312,1.12946107896587,2.13825630386318,"Multinational"
"10",2017,"Gabapentinoids",1.77618669428775,1.29368284295852,2.43864961967807,"Multinational"
"11",2018,"Gabapentinoids",1.94825912531132,1.42752964994564,2.6589385512962,"Multinational"
"12",2008,"Gabapentinoids",5.24363643060032,3.27878459291873,8.38594980460201,"Northern America"
"13",2008,"Gabapentinoids",0.233182511433069,0.09026639121635,0.60237351804516,"Central and South America and the Caribbean"
"14",2008,"Gabapentinoids",1.37745725968074,1.10264848913611,1.72075554534493,"Northern Europe"
"15",2008,"Gabapentinoids",0.176291004926017,0.0703751815159894,0.441611911306601,"Eastern Europe"
"16",2008,"Gabapentinoids",1.63959011019816,1.05518231918886,2.54766942221524,"Southern Europe"
"17",2008,"Gabapentinoids",2.37664774029008,1.91153664562228,2.95492869276758,"Western Europe"
"18",2008,"Gabapentinoids",1.12676974746172,0.868981995980427,1.4610314939408,"Australia and New Zealand"
"19",2008,"Gabapentinoids",0.0630430147253002,0.00951588402310516,0.417661847917048,"Eastern Asia"
"20",2008,"Gabapentinoids",0.0529978614903111,0.0529196131698944,0.0530762255107354,"South-eastern Asia"
"21",2008,"Gabapentinoids",0.105968606971508,0.0896715431127674,0.125227527860877,"Southern Asia"
"22",2008,"Gabapentinoids",0.312407555195233,0.13817371548757,0.706346212075641,"Western Asia"
"23",2008,"Gabapentinoids",0.0683167174113349,0.0410631267535789,0.113658511829068,"Northern Africa"
"24",2008,"Gabapentinoids",0.115912690939065,0.115756304007508,0.11606928914959,"Southern Africa"
"25",2009,"Gabapentinoids",5.95317876729958,3.88575813795941,9.12057214503782,"Northern America"
"26",2009,"Gabapentinoids",0.279721583812897,0.10721426608183,0.729792473616122,"Central and South America and the Caribbean"
"27",2009,"Gabapentinoids",1.62570401938695,1.3124475791354,2.01372885337787,"Northern Europe"
"28",2009,"Gabapentinoids",0.275657319476621,0.113013057568867,0.672373258592102,"Eastern Europe"
"29",2009,"Gabapentinoids",1.86285708541945,1.18095169513994,2.9385084377107,"Southern Europe"
"30",2009,"Gabapentinoids",2.66759230958503,2.192938224867,3.24498367052212,"Western Europe"
"31",2009,"Gabapentinoids",1.32833685516922,1.07577309580964,1.64019606706458,"Australia and New Zealand"
"32",2009,"Gabapentinoids",0.0875158509250689,0.0125644406966705,0.609579395377979,"Eastern Asia"
"33",2009,"Gabapentinoids",0.0637164084164092,0.0636313103992986,0.063801620240268,"South-eastern Asia"
"34",2009,"Gabapentinoids",0.146916486594211,0.12915484527817,0.167120745541517,"Southern Asia"
"35",2009,"Gabapentinoids",0.4045668434935,0.177610436164959,0.921535549309044,"Western Asia"
"36",2009,"Gabapentinoids",0.133672001835859,0.0759937802971554,0.235127190737671,"Northern Africa"
"37",2009,"Gabapentinoids",0.158601181385134,0.158419499893047,0.158783071236447,"Southern Africa"
"38",2010,"Gabapentinoids",6.74455448935565,4.27971772673988,10.6289755924018,"Northern America"
"39",2010,"Gabapentinoids",0.332542742063606,0.132567299719404,0.83417762550228,"Central and South America and the Caribbean"
"40",2010,"Gabapentinoids",1.95883018509543,1.57320852944587,2.43897463192149,"Northern Europe"
"41",2010,"Gabapentinoids",0.357766119765651,0.14529768443278,0.880926609063657,"Eastern Europe"
"42",2010,"Gabapentinoids",2.11988165026411,1.34760724744262,3.33472398553411,"Southern Europe"
"43",2010,"Gabapentinoids",3.1090582112642,2.65440971798174,3.64157910346221,"Western Europe"
"44",2010,"Gabapentinoids",1.55791689659306,1.32868337227761,1.82669935315714,"Australia and New Zealand"
"45",2010,"Gabapentinoids",0.124879569279087,0.0241152856245764,0.646681406395501,"Eastern Asia"
