"","Region","expcoef","explower","expupper","p-value"
"1","Northern Africa",35.9137524906029,26.1691350929349,46.4109911070577,0.000000000332415650561302
"2","Central and South America and the Caribbean",12.9188193780312,9.54765251043086,16.3937289164124,0.00000000000301181302120312
"3","Australia and New Zealand",19.894004683296,13.6987749782348,26.4268006559429,0.00000083948916129728
"4","Western Europe",8.30956598379069,6.6447339541432,10.000387723236,0.00000000000000799360577730113
"5","Eastern Europe",23.7705850282901,17.0636794298805,30.861748006316,0.0000000000479065676017854
"6","Northern America",9.04432229281806,6.81747983683121,11.317588118195,0.0000000407426760107299
"7","Eastern Asia",28.508291630187,18.8619512439165,38.9374887832695,0.000000104247642296329
"8","Southern Europe",8.62841007570718,6.82139875432279,10.4659891480636,0.0000000000000415223411209809
"9","Northern Europe",14.7788819663386,12.3440466074433,17.2664875734486,0
"10","Southern Asia",15.5569090871329,12.1868669274498,19.0281857715789,0.00000000367226149489142
"11","Western Asia",17.5712117549213,10.5310933370377,25.0597403517099,0.0000022122434593097
"12","South-eastern Asia",10.6552417277884,9.38526244658877,11.9399656586656,0.00000000973723890407285
"13","Southern Africa",12.4231364922213,6.34582330155615,18.8477480954691,0.0010201789723463
"(Intercept)","Multinational",-100,-100,-100,0.617831059187833
"Year","Multinational",16.6756466319279,14.9680455195448,18.4086104574531,0
